layer_index,layer_number_one_based,graph,metric,pilot,reference,difference,absolute_difference
8,9,ast,recall,0.2646462914858217,0.2645934316882542,5.285979756747272e-05,5.285979756747272e-05
9,10,ast,recall,0.2938225056629517,0.29385485903626574,-3.235337331403132e-05,3.235337331403132e-05
10,11,ast,recall,0.2100426860463886,0.21002080307683368,2.1882969554909426e-05,2.1882969554909426e-05
11,12,ast,recall,0.30555388196332717,0.3055785889781965,-2.4707014869340682e-05,2.4707014869340682e-05
0,1,dfg,fscore,0.10800369884490012,0.10779541032719754,0.00020828851770257617,0.00020828851770257617
1,2,dfg,fscore,0.1307183353423049,0.13075427143279675,-3.5936090491850425e-05,3.5936090491850425e-05
2,3,dfg,fscore,0.19419765905251166,0.19413871468368368,5.894436882797338e-05,5.894436882797338e-05
3,4,dfg,fscore,0.16712497719524985,0.1671487903750099,-2.3813179760051595e-05,2.3813179760051595e-05
4,5,dfg,fscore,0.18134379883905183,0.18130708316891642,3.6715670135412104e-05,3.6715670135412104e-05
5,6,dfg,fscore,0.11149221984636751,0.11145508544693651,3.713439943099639e-05,3.713439943099639e-05
6,7,dfg,fscore,0.17614005584837875,0.17620297831125223,-6.292246287348258e-05,6.292246287348258e-05
7,8,dfg,fscore,0.12391921206067262,0.12402724829498077,-0.00010803623430814813,0.00010803623430814813
8,9,dfg,fscore,0.1743143119131521,0.17430963334575883,4.678567393279209e-06,4.678567393279209e-06
9,10,dfg,fscore,0.15551274831994066,0.15546847996901653,4.4268350924137057e-05,4.4268350924137057e-05
10,11,dfg,fscore,0.14844745701030004,0.1484224960225711,2.4960987728944728e-05,2.4960987728944728e-05
11,12,dfg,fscore,0.07691745179335036,0.07683854647512892,7.890531822143942e-05,7.890531822143942e-05
0,1,dfg,precision,0.06804006303227407,0.06786758994489143,0.00017247308738263523,0.00017247308738263523
1,2,dfg,precision,0.08380106118332205,0.0838108458734293,-9.784690107247918e-06,9.784690107247918e-06
2,3,dfg,precision,0.13979444971480237,0.13971115896644312,8.329074835924932e-05,8.329074835924932e-05
3,4,dfg,precision,0.10194339225252518,0.1019511327789796,-7.740526454427799e-06,7.740526454427799e-06
4,5,dfg,precision,0.1586170500895523,0.15845625882517803,0.00016079126437426594,0.00016079126437426594
5,6,dfg,precision,0.07083878671037173,0.07080426943746607,3.4517272905668084e-05,3.4517272905668084e-05
6,7,dfg,precision,0.11178078625647449,0.11181488882288715,-3.410256641266096e-05,3.410256641266096e-05
7,8,dfg,precision,0.08217543774741141,0.0822386475768298,-6.320982941838971e-05,6.320982941838971e-05
8,9,dfg,precision,0.10660486219358023,0.10659298395702554,1.187823655468545e-05,1.187823655468545e-05
9,10,dfg,precision,0.0935694451706284,0.09353183205057816,3.7613120050239424e-05,3.7613120050239424e-05
10,11,dfg,precision,0.09321642198032104,0.09319088242726317,2.553955305786837e-05,2.553955305786837e-05
11,12,dfg,precision,0.04328829826361601,0.043238624333679115,4.967392993689146e-05,4.967392993689146e-05
0,1,dfg,recall,0.4889688543849536,0.48943889609770597,-0.00047004171275238926,0.00047004171275238926
1,2,dfg,recall,0.3838978854487669,0.3844159637958252,-0.0005180783470583039,0.0005180783470583039
2,3,dfg,recall,0.43844445472379184,0.43890528863543415,-0.000460833911642311,0.000460833911642311
3,4,dfg,recall,0.5440381436059992,0.5444890898577799,-0.0004509462517806595,0.0004509462517806595
4,5,dfg,recall,0.3754739990204728,0.3760534784170917,-0.0005794793966188982,0.0005794793966188982
5,6,dfg,recall,0.3304393695651566,0.33069985865276397,-0.0002604890876073407,0.0002604890876073407
6,7,dfg,recall,0.48936861539839993,0.48981002729916545,-0.0004414119007655204,0.0004414119007655204
7,8,dfg,recall,0.3046688597505464,0.305117013187771,-0.00044815343722459655,0.00044815343722459655
8,9,dfg,recall,0.5527350805497551,0.5531509983150906,-0.0004159177653355606,0.0004159177653355606
9,10,dfg,recall,0.5261766407896529,0.52652292764021,-0.0003462868505571537,0.0003462868505571537
10,11,dfg,recall,0.41525492604336806,0.41545672384774035,-0.00020179780437229455,0.00020179780437229455
11,12,dfg,recall,0.4343087365304869,0.43451534974195277,-0.00020661321146586697,0.00020661321146586697
