layer_index,layer_number_one_based,graph,metric,pilot,reference,difference,absolute_difference
10,11,dfg,fscore,0.28054569001825835,0.28040165090639785,0.00014403911186050555,0.00014403911186050555
11,12,dfg,fscore,0.1639903944802935,0.16389507874084042,9.531573945309457e-05,9.531573945309457e-05
0,1,dfg,precision,0.12871638592598902,0.12857104204541533,0.00014534388057368952,0.00014534388057368952
1,2,dfg,precision,0.07919257108596318,0.07921844526161625,-2.5874175653070597e-05,2.5874175653070597e-05
2,3,dfg,precision,0.0785850042447924,0.07858471996427441,2.8428051798701226e-07,2.8428051798701226e-07
3,4,dfg,precision,0.07590106927626498,0.0758818504624653,1.9218813799681822e-05,1.9218813799681822e-05
4,5,dfg,precision,0.09826334865670733,0.09824202011455828,2.132854214904889e-05,2.132854214904889e-05
5,6,dfg,precision,0.11710785966530331,0.11706189716084688,4.5962504456431574e-05,4.5962504456431574e-05
6,7,dfg,precision,0.09554241824924492,0.09549949567076979,4.29225784751297e-05,4.29225784751297e-05
7,8,dfg,precision,0.0782261395284273,0.07822042279623793,5.716732189367524e-06,5.716732189367524e-06
8,9,dfg,precision,0.01499372682104039,0.01498097240407104,1.2754416969351645e-05,1.2754416969351645e-05
9,10,dfg,precision,0.055804894128080394,0.05583641655815099,-3.15224300705963e-05,3.15224300705963e-05
10,11,dfg,precision,0.19461509115955244,0.19448538155274678,0.0001297096068056669,0.0001297096068056669
11,12,dfg,precision,0.09802927231424381,0.09795763961682478,7.163269741902734e-05,7.163269741902734e-05
0,1,dfg,recall,0.5028242253957966,0.5032534151165949,-0.0004291897207983064,0.0004291897207983064
1,2,dfg,recall,0.49682087891115867,0.49715369709848917,-0.00033281818733049695,0.00033281818733049695
2,3,dfg,recall,0.397192115899626,0.39762273079207083,-0.0004306148924448361,0.0004306148924448361
3,4,dfg,recall,0.5589713373934466,0.5592925651143154,-0.0003212277208687331,0.0003212277208687331
4,5,dfg,recall,0.5508805617070333,0.5511738072407826,-0.00029324553374932005,0.00029324553374932005
5,6,dfg,recall,0.5655280868578891,0.5658534042526377,-0.0003253173947486143,0.0003253173947486143
6,7,dfg,recall,0.5592202950225454,0.5595383857802082,-0.00031809075766275896,0.00031809075766275896
7,8,dfg,recall,0.4929819672561738,0.4934206873738608,-0.00043872011768697483,0.00043872011768697483
8,9,dfg,recall,0.0449074420719137,0.04491929236811075,-1.1850296197046806e-05,1.1850296197046806e-05
9,10,dfg,recall,0.09067197898293203,0.09075977544299474,-8.779646006271125e-05,8.779646006271125e-05
10,11,dfg,recall,0.5837795876687857,0.5839918393858078,-0.000212251717022105,0.000212251717022105
11,12,dfg,recall,0.5767951853831672,0.5770418316069599,-0.0002466462237926681,0.0002466462237926681
