layer_index,layer_number_one_based,graph,metric,pilot,reference,difference,absolute_difference
6,7,dfg,precision,0.06849281945619563,0.06847799675190569,1.4822704289943478e-05,1.4822704289943478e-05
7,8,dfg,precision,0.033148540385680735,0.03311599649753764,3.254388814309672e-05,3.254388814309672e-05
8,9,dfg,precision,0.0175975235890802,0.01761273390723156,-1.5210318151357566e-05,1.5210318151357566e-05
9,10,dfg,precision,0.11165784615727728,0.11155594700626269,0.00010189915101459224,0.00010189915101459224
10,11,dfg,precision,0.11516928228312048,0.11528462566202789,-0.00011534337890740931,0.00011534337890740931
11,12,dfg,precision,0.07200309463768839,0.07195816416600193,4.4930471686466245e-05,4.4930471686466245e-05
0,1,dfg,recall,0.5165354728269089,0.516975856372195,-0.0004403835452860827,0.0004403835452860827
1,2,dfg,recall,0.5433484872347714,0.5437552911773187,-0.0004068039425473291,0.0004068039425473291
2,3,dfg,recall,0.5639357777784487,0.5642301818955461,-0.0002944041170973577,0.0002944041170973577
3,4,dfg,recall,0.18911771006869707,0.1894484019367293,-0.0003306918680322235,0.0003306918680322235
4,5,dfg,recall,0.5230014191560539,0.5234981767214024,-0.0004967575653485046,0.0004967575653485046
5,6,dfg,recall,0.4496818026643294,0.4501959738218502,-0.0005141711575208374,0.0005141711575208374
6,7,dfg,recall,0.4230738024211785,0.4235626748876759,-0.0004888724664974253,0.0004888724664974253
7,8,dfg,recall,0.13971388994394274,0.1396715856390637,4.2304304879031696e-05,4.2304304879031696e-05
8,9,dfg,recall,0.08816489296848035,0.0883126365081442,-0.00014774353966384712,0.00014774353966384712
9,10,dfg,recall,0.21270708588629422,0.21309220138216264,-0.0003851154958684211,0.0003851154958684211
10,11,dfg,recall,0.12566215367525807,0.12586179771358194,-0.00019964403832387068,0.00019964403832387068
11,12,dfg,recall,0.28588114977698664,0.28649659716177295,-0.0006154473847863051,0.0006154473847863051
